subject_id,age_months,subtest,item_id,item_type,order,administration_status,response,recall,recognition,delay_minutes,response_time_seconds,notes
,,CR,CR-SC-01,scored,1,,,,,,,
,,CR,CR-SC-02,scored,2,,,,,,,
,,CR,CR-SC-03,scored,3,,,,,,,
,,CR,CR-SC-04,scored,4,,,,,,,
,,CR,CR-SC-05,scored,5,,,,,,,
,,CR,CR-SC-06,scored,6,,,,,,,
,,CR,CR-SC-07,scored,7,,,,,,,
,,CR,CR-SC-08,scored,8,,,,,,,
,,CR,CR-SC-09,scored,9,,,,,,,
,,CR,CR-SC-10,scored,10,,,,,,,
,,CR,CR-SC-11,scored,11,,,,,,,
,,CR,CR-SC-12,scored,12,,,,,,,
,,CR,CR-SC-13,scored,13,,,,,,,
,,CR,CR-SC-14,scored,14,,,,,,,
