subject_id,age_months,subtest,item_id,item_type,order,administration_status,response,item_score,response_time_seconds,notes
,,PG,PG-PR-01,practice,1,,,,,
,,PG,PG-PR-02,practice,2,,,,,
,,PG,PG-SC-01,scored,1,,,,,
,,PG,PG-SC-02,scored,2,,,,,
,,PG,PG-SC-03,scored,3,,,,,
,,PG,PG-SC-04,scored,4,,,,,
,,PG,PG-SC-05,scored,5,,,,,
,,PG,PG-SC-06,scored,6,,,,,
,,PG,PG-SC-07,scored,7,,,,,
,,PG,PG-SC-08,scored,8,,,,,
,,PG,PG-SC-09,scored,9,,,,,
,,PG,PG-SC-10,scored,10,,,,,
,,PG,PG-SC-11,scored,11,,,,,
,,PG,PG-SC-12,scored,12,,,,,
,,PG,PG-SC-13,scored,13,,,,,
,,PG,PG-SC-14,scored,14,,,,,
,,PG,PG-SC-15,scored,15,,,,,
,,PG,PG-SC-16,scored,16,,,,,
