subject_id,age_months,subtest,item_id,item_type,order,administration_status,response,item_score,response_time_seconds,notes
,,RR,RR-PR-01,practice,1,,,,,
,,RR,RR-PR-02,practice,2,,,,,
,,RR,RR-SC-01,scored,1,,,,,
,,RR,RR-SC-02,scored,2,,,,,
,,RR,RR-SC-03,scored,3,,,,,
,,RR,RR-SC-04,scored,4,,,,,
,,RR,RR-SC-05,scored,5,,,,,
,,RR,RR-SC-06,scored,6,,,,,
,,RR,RR-SC-07,scored,7,,,,,
,,RR,RR-SC-08,scored,8,,,,,
,,RR,RR-SC-09,scored,9,,,,,
,,RR,RR-SC-10,scored,10,,,,,
,,RR,RR-SC-11,scored,11,,,,,
,,RR,RR-SC-12,scored,12,,,,,
,,RR,RR-SC-13,scored,13,,,,,
,,RR,RR-SC-14,scored,14,,,,,
,,RR,RR-SC-15,scored,15,,,,,
,,RR,RR-SC-16,scored,16,,,,,
,,RR,RR-SC-17,scored,17,,,,,
,,RR,RR-SC-18,scored,18,,,,,
,,RR,RR-SC-19,scored,19,,,,,
,,RR,RR-SC-20,scored,20,,,,,
