subject_id,age_months,subtest,item_id,item_type,order,administration_status,response,item_score,response_time_seconds,notes
,,RS,RS-PR-01,practice,1,,,,,
,,RS,RS-PR-02,practice,2,,,,,
,,RS,RS-SC-03,scored,1,,,,,
,,RS,RS-SC-01,scored,2,,,,,
,,RS,RS-SC-02,scored,3,,,,,
,,RS,RS-SC-07,scored,4,,,,,
,,RS,RS-SC-08,scored,5,,,,,
,,RS,RS-SC-09,scored,6,,,,,
,,RS,RS-SC-10,scored,7,,,,,
,,RS,RS-SC-11,scored,8,,,,,
,,RS,RS-SC-04,scored,9,,,,,
,,RS,RS-SC-05,scored,10,,,,,
,,RS,RS-SC-12,scored,11,,,,,
,,RS,RS-SC-13,scored,12,,,,,
,,RS,RS-SC-14,scored,13,,,,,
,,RS,RS-SC-15,scored,14,,,,,
,,RS,RS-SC-16,scored,15,,,,,
,,RS,RS-SC-17,scored,16,,,,,
,,RS,RS-SC-18,scored,17,,,,,
,,RS,RS-SC-06,scored,18,,,,,
,,RS,RS-SC-19,scored,19,,,,,
,,RS,RS-SC-20,scored,20,,,,,
,,RS,RS-SC-21,scored,21,,,,,
,,RS,RS-SC-22,scored,22,,,,,
,,RS,RS-SC-23,scored,23,,,,,
,,RS,RS-SC-24,scored,24,,,,,
