subject_id,age_months,subtest,item_id,item_type,order,administration_status,response,item_score,response_time_seconds,notes
,,SM,SM-PR-01,practice,1,,,,,
,,SM,SM-PR-02,practice,2,,,,,
,,SM,SM-PR-03,practice,3,,,,,
,,SM,SM-SC-01,scored,1,,,,,
,,SM,SM-SC-02,scored,2,,,,,
,,SM,SM-SC-03,scored,3,,,,,
,,SM,SM-SC-04,scored,4,,,,,
,,SM,SM-SC-05,scored,5,,,,,
,,SM,SM-SC-06,scored,6,,,,,
,,SM,SM-SC-07,scored,7,,,,,
,,SM,SM-SC-08,scored,8,,,,,
,,SM,SM-SC-09,scored,9,,,,,
,,SM,SM-SC-10,scored,10,,,,,
,,SM,SM-SC-11,scored,11,,,,,
,,SM,SM-SC-12,scored,12,,,,,
,,SM,SM-SC-13,scored,13,,,,,
,,SM,SM-SC-14,scored,14,,,,,
,,SM,SM-SC-15,scored,15,,,,,
,,SM,SM-SC-16,scored,16,,,,,
,,SM,SM-SC-17,scored,17,,,,,
,,SM,SM-SC-18,scored,18,,,,,
,,SM,SM-SC-19,scored,19,,,,,
,,SM,SM-SC-20,scored,20,,,,,
,,SM,SM-SC-21,scored,21,,,,,
,,SM,SM-SC-22,scored,22,,,,,
,,SM,SM-SC-23,scored,23,,,,,
,,SM,SM-SC-24,scored,24,,,,,
,,SM,SM-SC-25,scored,25,,,,,
,,SM,SM-SC-26,scored,26,,,,,
,,SM,SM-SC-27,scored,27,,,,,
,,SM,SM-SC-28,scored,28,,,,,
,,SM,SM-SC-29,scored,29,,,,,
,,SM,SM-SC-30,scored,30,,,,,
,,SM,SM-SC-31,scored,31,,,,,
,,SM,SM-SC-32,scored,32,,,,,
,,SM,SM-SC-33,scored,33,,,,,
,,SM,SM-SC-34,scored,34,,,,,
,,SM,SM-SC-35,scored,35,,,,,
,,SM,SM-SC-36,scored,36,,,,,
