subject_id,age_months,subtest,item_id,item_type,order,administration_status,response,item_score,query_used,response_time_seconds,notes
,,SP,SP-PR-01,practice,1,,,,,,
,,SP,SP-PR-02,practice,2,,,,,,
,,SP,SP-SC-01,scored,1,,,,,,
,,SP,SP-SC-05,scored,2,,,,,,
,,SP,SP-SC-02,scored,3,,,,,,
,,SP,SP-SC-03,scored,4,,,,,,
,,SP,SP-SC-04,scored,5,,,,,,
,,SP,SP-SC-06,scored,6,,,,,,
,,SP,SP-SC-07,scored,7,,,,,,
,,SP,SP-SC-08,scored,8,,,,,,
,,SP,SP-SC-09,scored,9,,,,,,
,,SP,SP-SC-10,scored,10,,,,,,
,,SP,SP-SC-11,scored,11,,,,,,
,,SP,SP-SC-12,scored,12,,,,,,
,,SP,SP-SC-13,scored,13,,,,,,
,,SP,SP-SC-14,scored,14,,,,,,
,,SP,SP-SC-15,scored,15,,,,,,
,,SP,SP-SC-16,scored,16,,,,,,
,,SP,SP-SC-17,scored,17,,,,,,
,,SP,SP-SC-18,scored,18,,,,,,
