"ID","age_y","SP_grezzo","RS_grezzo","CS_grezzo","MR_grezzo","RR_grezzo","QS_grezzo","MO_grezzo","RP_grezzo","MP_grezzo","SM_grezzo","PG_grezzo","CL_grezzo","SS_grezzo","CR_grezzo","DM_grezzo"
1,6,2,5,4,4,2,1,7,0,2,6,0,9,16,0,1
2,6,6,2,4,1,2,4,1,3,2,3,2,13,12,8,6
3,6,15,3,5,7,7,0,8,5,4,5,9,20,34,15,7
4,6,10,7,1,3,4,2,7,0,4,9,2,11,23,8,3
5,6.08333333333333,3,0,3,5,3,2,2,4,2,2,0,5,0,3,0
6,6.08333333333333,6,3,5,7,4,3,8,6,7,10,2,9,11,6,1
7,6.08333333333333,4,1,3,1,2,0,5,1,1,0,1,5,5,1,1
8,6.08333333333333,4,1,2,3,4,1,2,2,6,2,1,15,14,3,2
9,6.08333333333333,5,9,3,8,5,3,10,4,6,7,2,28,15,8,1
10,6.08333333333333,11,4,1,5,3,3,5,4,0,11,3,11,3,2,1
11,6.08333333333333,8,0,1,0,2,5,4,4,4,3,3,14,3,6,1
12,6.08333333333333,14,11,8,6,5,7,9,6,9,4,5,23,15,6,2
13,6.08333333333333,3,2,1,1,2,1,2,3,1,2,1,0,7,0,1
14,6.16666666666667,3,3,1,1,4,3,6,1,4,6,5,8,9,2,2
15,6.16666666666667,9,3,3,4,3,5,9,4,5,3,1,2,5,4,0
16,6.16666666666667,11,5,1,1,2,2,1,1,3,2,2,9,5,1,1
17,6.16666666666667,11,3,2,2,4,3,4,1,5,5,6,12,5,13,3
18,6.16666666666667,20,5,11,15,9,9,17,10,12,17,13,35,29,9,4
19,6.16666666666667,5,5,2,3,6,4,6,3,3,12,4,10,22,5,3
20,6.16666666666667,3,2,0,4,3,2,2,1,4,3,0,11,11,1,0
21,6.16666666666667,3,1,2,0,2,0,4,1,2,2,0,0,3,5,0
22,6.25,3,4,2,1,1,1,0,1,2,0,0,2,8,2,0
23,6.25,11,1,3,7,1,2,7,2,4,5,2,23,21,5,1
24,6.25,5,0,1,1,2,4,2,3,2,4,1,0,4,1,1
25,6.25,7,2,5,5,5,5,2,1,7,1,3,7,17,3,2
26,6.25,4,2,4,5,1,3,10,2,3,5,3,0,7,3,0
27,6.25,11,8,5,7,7,11,9,9,10,10,8,41,24,13,0
28,6.33333333333333,1,1,4,3,0,2,1,2,0,0,1,0,3,1,0
29,6.33333333333333,10,3,3,4,8,4,6,1,4,6,4,26,21,3,0
30,6.33333333333333,4,0,2,0,2,1,5,1,2,0,3,0,0,5,0
31,6.41666666666667,20,17,5,12,10,7,12,9,12,24,7,26,37,15,1
32,6.41666666666667,15,7,3,6,3,11,11,8,4,14,4,12,8,4,1
33,6.41666666666667,5,4,2,1,3,2,3,5,0,3,2,16,21,5,0
34,6.41666666666667,6,4,4,5,5,6,8,3,5,7,2,37,11,1,0
35,6.41666666666667,8,0,1,3,2,3,3,4,1,6,0,24,32,3,0
36,6.41666666666667,12,4,9,10,5,0,9,10,3,7,8,35,27,14,5
37,6.41666666666667,8,3,4,1,2,6,12,3,5,5,7,9,11,5,1
38,6.41666666666667,15,11,8,3,9,5,14,5,8,20,2,20,55,22,4
39,6.41666666666667,5,1,1,7,3,10,6,2,4,4,3,20,16,3,2
40,6.41666666666667,6,6,2,5,4,3,10,5,6,6,1,14,8,7,3
41,6.5,2,0,5,3,2,2,10,5,5,4,1,0,7,1,0
42,6.5,17,5,4,13,3,8,12,4,12,14,7,11,17,9,1
43,6.5,5,2,3,4,5,2,5,5,4,5,2,10,22,4,1
44,6.5,4,3,1,5,1,7,4,1,1,4,4,14,16,5,2
45,6.5,6,1,1,4,4,1,5,3,3,4,4,2,11,3,1
46,6.5,3,1,1,6,3,6,1,0,2,5,3,10,20,7,3
47,6.5,4,0,3,2,3,6,3,5,2,1,2,11,4,1,0
48,6.5,10,9,4,6,3,6,8,5,3,6,6,24,7,5,1
49,6.5,9,5,2,9,5,5,8,3,5,12,2,31,25,6,2
50,6.5,3,2,4,2,6,4,4,3,9,8,3,6,7,8,3
51,6.58333333333333,5,4,1,3,2,3,4,6,3,9,2,13,24,6,0
52,6.58333333333333,8,11,6,12,8,8,14,10,10,28,10,16,50,14,2
53,6.58333333333333,16,8,4,7,8,5,12,9,6,18,4,40,26,3,2
54,6.58333333333333,8,12,6,7,6,6,16,12,11,19,5,31,34,8,5
55,6.58333333333333,10,6,9,4,10,3,12,11,5,7,9,43,56,10,2
56,6.58333333333333,2,1,1,0,7,2,5,5,8,7,5,5,19,6,2
57,6.58333333333333,9,1,7,5,10,6,4,5,4,12,1,46,47,9,2
58,6.58333333333333,6,7,4,5,2,3,3,2,1,6,5,29,31,4,1
59,6.58333333333333,2,9,1,5,4,3,9,2,2,11,1,24,16,5,1
60,6.58333333333333,9,5,3,7,3,4,7,8,7,11,6,17,18,5,3
61,6.58333333333333,11,4,4,10,8,3,7,2,6,3,2,10,9,5,0
62,6.58333333333333,14,7,3,2,11,8,11,7,5,9,3,19,11,5,6
63,6.58333333333333,15,6,6,7,3,8,7,8,9,8,3,5,35,4,2
64,6.58333333333333,15,7,8,9,10,11,18,7,9,11,6,66,58,10,3
65,6.58333333333333,12,4,3,6,4,2,8,4,4,4,2,21,19,4,2
66,6.66666666666667,7,2,4,7,5,1,3,0,5,6,2,24,11,1,3
67,6.66666666666667,5,6,3,4,6,6,5,3,8,8,4,6,12,7,2
