ID,age_y,SP_grezzo,RS_grezzo,CS_grezzo,MR_grezzo,RR_grezzo,QS_grezzo,MO_grezzo,RP_grezzo,MP_grezzo,SM_grezzo,PG_grezzo,CR_grezzo,CL_grezzo,SS_grezzo,DM_grezzo,age_m,age_band,SP_PP,RS_PP,MR_PP,RR_PP,MO_PP,RP_PP,SM_PP,CL_PP,CR_PP,PG_PP,SS_PP,DM_PP,CS_PP,QS_PP,MP_PP
1,6,2,5,4,4,2,1,7,0,2,4,0,0,9,16,1,72,6;00-6;03,7,12,10,8,11,6,10,8,7,7,11,9,11,7,7
2,6,6,2,4,1,2,4,1,3,2,2,2,6,13,12,6,72,6;00-6;03,9,9,8,8,7,10,9,10,12,9,11,17,11,10,7
3,6,15,3,5,7,7,0,8,5,4,3,9,11,20,34,7,72,6;00-6;03,15,9,13,16,12,12,9,12,17,15,19,19,12,7,10
4,6,10,7,1,3,4,2,7,0,4,6,2,6,11,23,3,72,6;00-6;03,11,14,9,10,11,6,12,10,12,9,13,13,8,9,10
5,6.08333333333333,3,0,3,5,3,2,2,4,2,1,0,2,5,0,0,73,6;00-6;03,7,7,10,10,7,11,7,8,8,7,5,8,10,9,7
6,6.08333333333333,6,3,5,7,4,3,8,6,7,7,2,4,9,11,1,73,6;00-6;03,9,9,13,10,12,14,13,8,11,9,11,9,12,10,13
7,6.08333333333333,4,1,3,1,2,0,5,1,1,0,1,0,5,5,1,73,6;00-6;03,7,7,8,8,9,8,7,8,7,8,8,9,10,7,7
8,6.08333333333333,4,1,2,3,4,1,2,2,6,1,1,2,15,14,2,73,6;00-6;03,7,7,9,10,7,9,7,10,8,8,11,11,8,7,12
9,6.08333333333333,5,9,3,8,5,3,10,4,6,4,2,6,28,15,1,73,6;00-6;03,9,15,13,12,14,11,10,14,12,9,11,9,10,10,12
10,6.08333333333333,11,4,1,5,3,3,5,4,0,8,3,1,11,3,1,73,6;00-6;03,13,10,10,10,9,11,15,10,8,10,8,9,8,10,6
11,6.08333333333333,8,0,1,0,2,5,4,4,4,2,3,5,14,3,1,73,6;00-6;03,10,7,6,8,9,11,9,10,12,10,8,9,8,12,10
12,6.08333333333333,14,11,8,6,5,7,9,6,9,2,5,4,23,15,2,73,6;00-6;03,14,19,12,12,12,14,9,12,11,12,11,11,17,15,15
13,6.08333333333333,3,2,1,1,2,1,2,3,1,1,1,0,0,7,1,73,6;00-6;03,7,9,8,8,7,10,7,6,7,8,8,9,8,7,7
14,6.16666666666667,3,3,1,1,4,3,6,1,4,5,5,1,8,9,2,74,6;00-6;03,7,9,8,10,11,8,12,8,8,12,8,11,8,10,10
15,6.16666666666667,9,3,3,4,3,5,9,4,5,2,1,3,2,5,0,74,6;00-6;03,11,9,10,10,12,11,9,8,9,8,8,8,10,12,11
16,6.16666666666667,11,5,1,1,2,2,1,1,3,1,2,1,9,5,1,74,6;00-6;03,13,12,8,8,7,8,7,8,8,9,8,9,8,9,9
17,6.16666666666667,11,3,2,2,4,3,4,1,5,3,6,10,12,5,3,74,6;00-6;03,13,9,9,10,9,8,9,10,16,13,8,13,8,10,11
18,6.16666666666667,20,5,11,15,9,9,17,10,12,12,13,6,35,29,4,74,6;00-6;03,18,12,19,18,19,18,19,17,12,19,16,14,19,16,18
19,6.16666666666667,5,5,2,3,6,4,6,3,3,8,4,4,10,22,3,74,6;00-6;03,9,12,9,14,11,10,15,10,11,11,13,13,8,10,9
20,6.16666666666667,3,2,0,4,3,2,2,1,4,2,0,0,11,11,0,74,6;00-6;03,7,9,10,10,7,8,9,10,7,7,11,8,7,9,10
21,6.16666666666667,3,1,2,0,2,0,4,1,2,1,0,4,0,3,0,74,6;00-6;03,7,7,6,8,9,8,7,6,11,7,8,8,8,7,7
22,6.25,3,4,2,1,1,1,0,1,2,0,0,2,2,8,0,75,6;00-6;03,7,10,8,6,6,8,7,8,8,7,8,8,8,7,7
23,6.25,11,1,3,7,1,2,7,2,4,3,2,4,23,21,1,75,6;00-6;03,13,7,13,6,11,9,9,12,11,9,13,9,10,9,10
24,6.25,5,0,1,1,2,4,2,3,2,3,1,1,0,4,1,75,6;00-6;03,9,7,8,8,7,10,9,6,8,8,8,9,8,10,7
25,6.25,7,2,5,5,5,5,2,1,7,1,3,2,7,17,2,75,6;00-6;03,10,9,10,12,7,8,7,8,8,10,11,11,12,12,13
26,6.25,4,2,4,5,1,3,10,2,3,3,3,2,0,7,0,75,6;00-6;03,7,9,10,6,14,9,9,6,8,10,8,8,11,10,9
27,6.25,11,8,5,7,7,11,9,9,10,7,8,10,41,24,0,75,6;00-6;03,13,15,13,16,12,17,13,19,16,15,13,8,12,19,16
28,6.33333333333333,1,1,4,3,0,2,1,2,0,0,1,0,0,3,0,76,6;04-6;07,6,7,8,5,6,7,7,6,6,7,7,7,10,7,6
29,6.33333333333333,10,3,3,4,8,4,6,1,4,4,4,2,26,21,0,76,6;04-6;07,11,8,9,14,9,6,9,11,7,10,10,7,9,8,9
30,6.33333333333333,4,0,2,0,2,1,5,1,2,0,3,4,0,0,0,76,6;04-6;07,7,7,5,7,8,6,7,6,10,9,6,7,7,6,7
31,6.41666666666667,20,17,5,12,10,7,12,9,12,16,7,11,26,37,1,77,6;04-6;07,17,19,16,15,13,14,16,11,16,14,12,8,12,13,17
32,6.41666666666667,15,7,3,6,3,11,11,8,4,11,4,3,12,8,1,77,6;04-6;07,14,12,10,8,13,13,13,9,9,10,7,8,9,17,9
33,6.41666666666667,5,4,2,1,3,2,3,5,0,2,2,4,16,21,0,77,6;04-6;07,8,9,6,8,6,10,8,9,10,8,10,7,7,7,6
34,6.41666666666667,6,4,4,5,5,6,8,3,5,5,2,1,37,11,0,77,6;04-6;07,8,9,9,10,10,8,10,13,7,8,8,7,10,11,10
35,6.41666666666667,8,0,1,3,2,3,3,4,1,4,0,2,24,32,0,77,6;04-6;07,9,7,8,7,6,9,9,10,7,5,12,7,7,8,7
36,6.41666666666667,12,4,9,10,5,0,9,10,3,4,8,10,35,27,5,77,6;04-6;07,12,9,15,10,10,15,9,13,15,16,11,17,17,6,8
37,6.41666666666667,8,3,4,1,2,6,12,3,5,3,7,3,9,11,1,77,6;04-6;07,9,8,6,7,13,8,8,7,9,14,8,8,10,11,10
38,6.41666666666667,15,11,8,3,9,5,14,5,8,14,2,16,20,55,4,77,6;04-6;07,14,15,8,14,14,10,15,10,19,8,17,14,16,10,12
39,6.41666666666667,5,1,1,7,3,10,6,2,4,3,3,2,20,16,2,77,6;04-6;07,8,7,12,8,9,7,8,10,7,9,8,11,7,15,9
40,6.41666666666667,6,6,2,5,4,3,10,5,6,4,1,5,14,8,3,77,6;04-6;07,8,10,9,8,12,10,9,9,11,7,7,13,7,8,11
41,6.5,2,0,5,3,2,2,10,5,5,3,1,0,0,7,0,78,6;04-6;07,7,7,8,7,12,10,8,6,6,7,7,7,12,7,10
42,6.5,17,5,4,13,3,8,12,4,12,9,7,6,11,17,1,78,6;04-6;07,16,10,17,8,13,9,13,9,11,14,8,8,10,14,17
43,6.5,5,2,3,4,5,2,5,5,4,4,2,3,10,22,1,78,6;04-6;07,8,8,9,10,8,10,9,9,9,8,10,8,9,7,9
44,6.5,4,3,1,5,1,7,4,1,1,3,4,3,14,16,2,78,6;04-6;07,7,8,9,6,8,6,8,9,9,10,8,11,7,13,7
45,6.5,6,1,1,4,4,1,5,3,3,2,4,2,2,11,1,78,6;04-6;07,8,7,9,8,8,8,8,7,7,10,8,8,7,6,8
46,6.5,3,1,1,6,3,6,1,0,2,3,3,5,10,20,3,78,6;04-6;07,7,7,10,8,6,5,8,9,11,9,10,13,7,11,7
47,6.5,4,0,3,2,3,6,3,5,2,0,2,1,11,4,0,78,6;04-6;07,7,7,8,8,6,10,7,9,7,8,7,7,9,11,7
48,6.5,10,9,4,6,3,6,8,5,3,4,6,4,24,7,1,78,6;04-6;07,11,13,10,8,10,10,9,10,10,13,7,8,10,11,8
49,6.5,9,5,2,9,5,5,8,3,5,8,2,4,31,25,2,78,6;04-6;07,11,10,13,10,10,8,12,11,10,8,11,11,7,10,10
50,6.5,3,2,4,2,6,4,4,3,9,5,3,6,6,7,3,78,6;04-6;07,7,8,8,11,8,8,10,7,11,9,7,13,10,8,13
51,6.58333333333333,5,4,1,3,2,3,4,6,3,7,2,4,13,24,0,79,6;04-6;07,8,9,8,7,8,11,11,9,10,8,10,7,7,8,8
52,6.58333333333333,8,11,6,12,8,8,14,10,10,20,10,10,16,50,2,79,6;04-6;07,9,15,16,14,14,15,19,9,15,17,16,11,13,14,15
53,6.58333333333333,16,8,4,7,8,5,12,9,6,12,4,2,40,26,2,79,6;04-6;07,14,13,12,14,13,14,14,14,7,10,11,11,10,10,11
54,6.58333333333333,8,12,6,7,6,6,16,12,11,13,5,6,31,34,5,79,6;04-6;07,9,16,12,11,16,17,14,11,11,12,12,17,13,11,16
55,6.58333333333333,10,6,9,4,10,3,12,11,5,5,9,7,43,56,2,79,6;04-6;07,11,10,9,15,13,16,10,16,12,16,17,11,17,8,10
56,6.58333333333333,2,1,1,0,7,2,5,5,8,5,5,4,5,19,2,79,6;04-6;07,7,7,5,12,8,10,10,7,10,12,10,11,7,7,12
57,6.58333333333333,9,1,7,5,10,6,4,5,4,8,1,7,46,47,2,79,6;04-6;07,11,7,9,15,8,10,12,16,12,7,15,11,14,11,9
58,6.58333333333333,6,7,4,5,2,3,3,2,1,4,5,3,29,31,1,79,6;04-6;07,8,12,9,7,6,7,9,11,9,12,12,8,10,8,7
59,6.58333333333333,2,9,1,5,4,3,9,2,2,8,1,4,24,16,1,79,6;04-6;07,7,13,9,8,10,7,12,10,10,7,8,8,7,8,7
60,6.58333333333333,9,5,3,7,3,4,7,8,7,8,6,3,17,18,3,79,6;04-6;07,11,10,12,8,9,13,12,9,9,13,10,13,9,8,12
61,6.58333333333333,11,4,4,10,8,3,7,2,6,2,2,4,10,9,0,79,6;04-6;07,12,9,15,14,9,7,8,9,10,8,7,7,10,8,11
62,6.58333333333333,14,7,3,2,11,8,11,7,5,6,3,3,19,11,6,79,6;04-6;07,13,12,8,16,13,12,10,10,9,9,8,18,9,14,10
63,6.58333333333333,15,6,6,7,3,8,7,8,9,5,3,2,5,35,2,79,6;04-6;07,14,10,12,8,9,13,10,7,7,9,12,11,13,14,13
64,6.58333333333333,15,7,8,9,10,11,18,7,9,8,6,7,66,58,3,79,6;04-6;07,14,12,13,15,18,12,12,19,12,13,17,13,16,17,13
65,6.58333333333333,12,4,3,6,4,2,8,4,4,2,2,3,21,19,2,79,6;04-6;07,12,9,10,8,10,9,8,10,9,8,10,11,9,7,9
66,6.66666666666667,7,2,4,7,5,1,3,0,5,4,2,0,24,11,3,80,6;08-6;11,9,7,11,9,6,5,8,9,6,8,8,12,9,5,9
67,6.66666666666667,5,6,3,4,6,6,5,3,8,5,4,5,6,12,2,80,6;08-6;11,8,10,8,10,7,8,10,5,10,11,8,10,8,11,11
68,6.66666666666667,14,14,9,7,6,7,6,9,6,8,9,10,18,49,3,80,6;08-6;11,14,19,11,10,9,16,12,9,14,16,14,12,15,12,10
