ID,age_y,SP_grezzo,RS_grezzo,CS_grezzo,MR_grezzo,RR_grezzo,QS_grezzo,MO_grezzo,RP_grezzo,MP_grezzo,SM_grezzo,PG_grezzo,CL_grezzo,SS_grezzo,CR_grezzo,DM_grezzo,age_m,age_band,SP_PP_prelim,RS_PP_prelim,CS_PP_prelim,MR_PP_prelim,RR_PP_prelim,QS_PP_prelim,MO_PP_prelim,RP_PP_prelim,MP_PP_prelim,SM_PP_prelim,PG_PP_prelim,CL_PP_prelim,SS_PP_prelim,CR_PP_prelim,DM_PP_prelim
1,6,2,5,4,4,2,1,7,0,2,6,0,9,16,0,1,72,6;00-6;03,2,5,5,4,3,2,4,1,2,4,2,2,3,2,4
2,6,6,2,4,1,2,4,1,3,2,3,2,13,12,8,6,72,6;00-6;03,3,3,5,2,3,4,2,4,2,3,4,3,3,6,12
3,6,15,3,5,7,7,0,8,5,4,5,9,20,34,15,7,72,6;00-6;03,8,3,6,6,7,2,5,6,4,3,10,4,6,10,14
4,6,10,7,1,3,4,2,7,0,4,9,2,11,23,8,3,72,6;00-6;03,5,6,3,3,4,3,4,1,4,5,4,3,4,6,8
5,6.08333333333333,3,0,3,5,3,2,2,4,2,2,0,5,0,3,0,73,6;00-6;03,2,2,4,4,4,3,2,5,2,2,2,2,1,3,3
6,6.08333333333333,6,3,5,7,4,3,8,6,7,10,2,9,11,6,1,73,6;00-6;03,3,3,6,6,4,4,5,7,7,6,4,2,3,5,4
7,6.08333333333333,4,1,3,1,2,0,5,1,1,0,1,5,5,1,1,73,6;00-6;03,2,2,4,2,3,2,3,2,2,1,3,2,2,2,4
8,6.08333333333333,4,1,2,3,4,1,2,2,6,2,1,15,14,3,2,73,6;00-6;03,2,2,3,3,4,2,2,3,6,2,3,3,3,3,6
9,6.08333333333333,5,9,3,8,5,3,10,4,6,7,2,28,15,8,1,73,6;00-6;03,3,7,4,6,5,4,6,5,6,4,4,5,3,6,4
10,6.08333333333333,11,4,1,5,3,3,5,4,0,11,3,11,3,2,1,73,6;00-6;03,6,4,3,4,4,4,3,5,1,6,5,3,2,3,4
11,6.08333333333333,8,0,1,0,2,5,4,4,4,3,3,14,3,6,1,73,6;00-6;03,4,2,3,1,3,5,3,5,4,3,5,3,2,5,4
12,6.08333333333333,14,11,8,6,5,7,9,6,9,4,5,23,15,6,2,73,6;00-6;03,7,9,9,5,5,7,5,7,8,3,7,4,3,5,6
13,6.08333333333333,3,2,1,1,2,1,2,3,1,2,1,0,7,0,1,73,6;00-6;03,2,3,3,2,3,2,2,4,2,2,3,1,2,2,4
