ID,age_y,SP_grezzo,RS_grezzo,CS_grezzo,MR_grezzo,RR_grezzo,QS_grezzo,MO_grezzo,RP_grezzo,MP_grezzo,SM_grezzo,PG_grezzo,CL_grezzo,SS_grezzo,CR_grezzo,DM_grezzo,age_m,age_band,SP_PP,RS_PP,CS_PP,MR_PP,RR_PP,QS_PP,MO_PP,RP_PP,MP_PP,SM_PP,PG_PP,CL_PP,SS_PP,CR_PP,DM_PP,age_group,qIC_sommaPP,qIC_SS,qIF_sommaPP,qIF_SS,qVS_sommaPP,qVS_SS,qML_sommaPP,qML_SS,qVE_sommaPP,qVE_SS,qAR_sommaPP,qAR_SS,QI_rapido_sommaPP,QI_rapido_SS,QI_totale_sommaPP,QI_totale_SS
1,6,2,5,4,4,2,1,7,0,2,6,0,9,16,0,1,72,6;00-6;03,7,12,11,10,8,7,11,6,7,11,7,8,11,7,9,6-10 anni,19,97,18,94,17,91,18,94,19,97,16,88,37,95,80,92
2,6,6,2,4,1,2,4,1,3,2,3,2,13,12,8,6,72,6;00-6;03,9,9,11,8,8,10,7,10,7,9,9,10,11,12,17,6-10 anni,18,94,16,89,17,91,18,94,21,103,29,128,34,90,82,93
3,6,15,3,5,7,7,0,8,5,4,5,9,20,34,15,7,72,6;00-6;03,15,9,12,13,16,7,12,12,10,9,15,12,19,17,19,6-10 anni,24,112,29,127,24,112,24,111,31,131,36,150,53,122,115,121
4,6,10,7,1,3,4,2,7,0,4,9,2,11,23,8,3,72,6;00-6;03,11,14,8,9,10,9,11,6,10,12,9,10,13,12,13,6-10 anni,25,115,19,97,17,91,21,103,23,108,25,116,44,107,95,104
5,6.08333333333333,3,0,3,5,3,2,2,4,2,2,0,5,0,3,0,73,6;00-6;03,7,7,10,10,10,9,7,11,7,8,7,8,5,8,8,6-10 anni,14,82,20,100,18,94,15,86,13,80,16,88,34,90,76,89
6,6.08333333333333,6,3,5,7,4,3,8,6,7,10,2,9,11,6,1,73,6;00-6;03,9,9,12,13,10,10,12,14,13,14,9,8,11,11,9,6-10 anni,18,94,23,109,26,118,23,109,19,97,20,100,41,102,100,108
7,6.08333333333333,4,1,3,1,2,0,5,1,1,0,1,5,5,1,1,73,6;00-6;03,7,7,10,8,8,7,9,8,7,6,8,8,8,7,9,6-10 anni,14,82,16,89,17,91,14,83,16,89,16,88,30,83,68,82
8,6.08333333333333,4,1,2,3,4,1,2,2,6,2,1,15,14,3,2,73,6;00-6;03,7,7,8,9,10,7,7,9,12,8,8,10,11,8,11,6-10 anni,14,82,19,97,16,88,16,88,21,103,19,97,33,88,75,88
9,6.08333333333333,5,9,3,8,5,3,10,4,6,7,2,28,15,8,1,73,6;00-6;03,9,15,10,13,12,10,14,11,12,11,9,14,11,12,9,6-10 anni,24,112,25,115,25,115,20,100,25,114,21,103,49,115,111,117
10,6.08333333333333,11,4,1,5,3,3,5,4,0,11,3,11,3,2,1,73,6;00-6;03,13,10,8,10,10,10,9,11,6,14,10,10,8,8,9,6-10 anni,23,109,20,100,20,100,24,111,18,94,17,91,43,105,95,104
11,6.08333333333333,8,0,1,0,2,5,4,4,4,3,3,14,3,6,1,73,6;00-6;03,10,7,8,6,8,12,9,11,10,9,10,10,8,11,9,6-10 anni,17,91,14,83,20,100,19,97,18,94,20,100,31,85,81,93
12,6.08333333333333,14,11,8,6,5,7,9,6,9,4,5,23,15,6,2,73,6;00-6;03,14,19,17,12,12,15,12,14,15,9,12,12,11,11,11,6-10 anni,33,138,24,112,26,118,21,103,23,108,22,106,57,128,115,121
13,6.08333333333333,3,2,1,1,2,1,2,3,1,2,1,0,7,0,1,73,6;00-6;03,7,9,8,8,8,7,7,10,7,8,8,6,8,7,9,6-10 anni,16,88,16,89,17,91,16,88,14,83,16,88,32,87,70,84
14,6.16666666666667,3,3,1,1,4,3,6,1,4,6,5,8,9,2,2,74,6;00-6;03,7,9,8,8,10,10,11,8,10,11,12,8,8,8,11,6-10 anni,16,88,18,94,19,97,23,109,16,89,19,97,34,90,80,92
15,6.16666666666667,9,3,3,4,3,5,9,4,5,3,1,2,5,4,0,74,6;00-6;03,11,9,10,10,10,12,12,11,11,9,8,8,8,10,8,6-10 anni,20,100,20,100,23,109,17,91,16,89,18,94,40,100,90,100
16,6.16666666666667,11,5,1,1,2,2,1,1,3,2,2,9,5,1,1,74,6;00-6;03,13,12,8,8,8,9,7,8,9,8,9,8,8,7,9,6-10 anni,25,115,16,89,15,85,17,91,16,89,16,88,41,102,79,91
17,6.16666666666667,11,3,2,2,4,3,4,1,5,5,6,12,5,13,3,74,6;00-6;03,13,9,8,9,10,10,9,8,11,9,13,10,8,16,13,6-10 anni,22,106,19,97,17,91,22,106,18,94,29,128,41,102,93,102
18,6.16666666666667,20,5,11,15,9,9,17,10,12,17,13,35,29,9,4,74,6;00-6;03,18,12,19,19,18,16,19,18,18,19,19,17,16,13,14,6-10 anni,30,129,37,151,37,151,38,152,33,136,27,122,67,145,153,152
19,6.16666666666667,5,5,2,3,6,4,6,3,3,12,4,10,22,5,3,74,6;00-6;03,9,12,8,9,14,10,11,10,9,16,11,10,13,10,13,6-10 anni,21,103,23,109,21,103,27,120,23,108,23,109,44,107,101,109
20,6.16666666666667,3,2,0,4,3,2,2,1,4,3,0,11,11,1,0,74,6;00-6;03,7,9,7,10,10,9,7,8,10,9,7,10,11,7,8,6-10 anni,16,88,20,100,15,85,16,88,21,103,15,85,36,93,77,89
21,6.16666666666667,3,1,2,0,2,0,4,1,2,2,0,0,3,5,0,74,6;00-6;03,7,7,8,6,8,7,9,8,7,8,7,6,8,10,8,6-10 anni,14,82,14,83,17,91,15,86,14,83,18,94,28,80,69,83
22,6.25,3,4,2,1,1,1,0,1,2,0,0,2,8,2,0,75,6;00-6;03,7,10,8,8,6,7,6,8,7,6,7,8,8,8,8,6-10 anni,17,91,14,83,14,82,13,80,16,89,16,88,31,85,67,81
23,6.25,11,1,3,7,1,2,7,2,4,5,2,23,21,5,1,75,6;00-6;03,13,7,10,13,6,9,11,9,10,9,9,12,13,10,9,6-10 anni,20,100,19,97,20,100,18,94,25,114,19,97,39,98,90,100
24,6.25,5,0,1,1,2,4,2,3,2,4,1,0,4,1,1,75,6;00-6;03,9,7,8,8,8,10,7,10,7,9,8,6,8,7,9,6-10 anni,16,88,16,89,17,91,17,91,14,83,16,88,32,87,71,84
25,6.25,7,2,5,5,5,5,2,1,7,1,3,7,17,3,2,75,6;00-6;03,10,9,12,10,12,12,7,8,13,8,10,8,11,8,11,6-10 anni,19,97,22,106,15,85,18,94,19,97,19,97,41,102,80,92
26,6.25,4,2,4,5,1,3,10,2,3,5,3,0,7,3,0,75,6;00-6;03,7,9,11,10,6,10,14,9,9,9,10,6,8,8,8,6-10 anni,16,88,16,89,23,109,19,97,14,83,16,88,32,87,78,90
27,6.25,11,8,5,7,7,11,9,9,10,10,8,41,24,13,0,75,6;00-6;03,13,15,12,13,16,19,12,17,16,14,15,19,13,16,8,6-10 anni,28,123,29,127,29,127,29,126,32,133,24,112,57,128,135,137
