task,age_band,age_band_label,age_lo_m,age_hi_m,age_ref_m,age_ref_y,grezzo,percentile,PP_prelim,PP_official
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,0,0.19333333333333333,1,6
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,1,0.4266666666666667,1,6
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,2,0.72,2,8
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,3,1.0433333333333332,2,8
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,4,1.4033333333333333,2,8
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,5,1.7866666666666666,2,8
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,6,2.1933333333333334,2,8
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,7,2.6266666666666665,2,8
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,8,3.08,2,8
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,9,3.5566666666666666,2,8
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,10,4.046666666666667,3,10
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,11,4.556666666666667,3,10
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,12,5.09,3,10
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,13,5.64,3,10
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,14,6.2,3,10
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,15,6.786666666666667,3,10
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,16,7.383333333333334,3,10
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,17,8.006666666666668,3,10
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,18,8.633333333333333,4,12
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,19,9.283333333333333,4,12
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,20,9.946666666666667,4,12
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,21,10.636666666666667,4,12
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,22,11.33,4,12
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,23,12.04,4,12
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,24,12.776666666666667,4,12
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,25,13.526666666666667,4,12
