task,age_band,age_band_label,age_lo_m,age_hi_m,age_ref_m,age_ref_y,grezzo,percentile,PP_prelim
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,0,0.19333333333333333,1
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,1,0.4266666666666667,1
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,2,0.72,2
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,3,1.0433333333333332,2
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,4,1.4033333333333333,2
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,5,1.7866666666666666,2
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,6,2.1933333333333334,2
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,7,2.6266666666666665,2
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,8,3.08,2
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,9,3.5566666666666666,2
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,10,4.046666666666667,3
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,11,4.556666666666667,3
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,12,5.09,3
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,13,5.64,3
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,14,6.2,3
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,15,6.786666666666667,3
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,16,7.383333333333334,3
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,17,8.006666666666668,3
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,18,8.633333333333333,4
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,19,9.283333333333333,4
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,20,9.946666666666667,4
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,21,10.636666666666667,4
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,22,11.33,4
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,23,12.04,4
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,24,12.776666666666667,4
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,25,13.526666666666667,4
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,26,14.293333333333333,5
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,27,15.08,5
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,28,15.870000000000001,5
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,29,16.7,5
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,30,17.536666666666665,5
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,31,18.393333333333334,5
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,32,19.266666666666666,6
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,33,20.16,6
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,34,21.076666666666664,6
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,35,22.023333333333333,6
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,36,22.97,6
CL,6;00-6;03,6anni;0mesi-6anni;3mesi,72,75,74,12.166666666666666,37,23.96,6
